Entity,Code,Year,Number of countries where homosexuality is legal,Adoption - Legal (Count),Marriage - Legal (Count),"Changing_gender - Legal, no restrictions (Count)",Non_binary_gender_recognition - Recognized (Count),Decade_marker,Velocity_steady
World,OWID_WRL,1950,57,0,0,0,0,1,1
World,OWID_WRL,1951,58,0,0,0,0,0,1
World,OWID_WRL,1952,58,0,0,0,0,0,1
World,OWID_WRL,1953,59,0,0,0,0,0,1
World,OWID_WRL,1954,59,0,0,0,0,0,1
World,OWID_WRL,1955,59,0,0,0,0,0,1
World,OWID_WRL,1956,59,0,0,0,0,0,1
World,OWID_WRL,1957,60,0,0,0,0,0,1
World,OWID_WRL,1958,60,0,0,0,0,0,1
World,OWID_WRL,1959,60,0,0,0,0,0,1
World,OWID_WRL,1960,61,0,0,0,0,1,1
World,OWID_WRL,1961,63,0,0,0,0,0,1
World,OWID_WRL,1962,65,0,0,0,0,0,1
World,OWID_WRL,1963,66,0,0,0,0,0,1
World,OWID_WRL,1964,66,0,0,0,0,0,1
World,OWID_WRL,1965,66,0,0,0,0,0,1
World,OWID_WRL,1966,65,0,0,0,0,0,1
World,OWID_WRL,1967,65,0,0,0,0,0,1
World,OWID_WRL,1968,66,0,0,0,0,0,1
World,OWID_WRL,1969,68,0,0,0,0,0,1
World,OWID_WRL,1970,68,0,0,0,0,1,1
World,OWID_WRL,1971,71,0,0,0,0,0,1
World,OWID_WRL,1972,72,0,0,0,0,0,1
World,OWID_WRL,1973,73,0,0,0,0,0,1
World,OWID_WRL,1974,71,0,0,0,0,0,1
World,OWID_WRL,1975,71,0,0,0,0,0,1
World,OWID_WRL,1976,71,0,0,0,0,0,1
World,OWID_WRL,1977,74,0,0,0,0,0,1
World,OWID_WRL,1978,74,0,0,0,0,0,1
World,OWID_WRL,1979,76,0,0,0,0,0,1
World,OWID_WRL,1980,77,0,0,0,0,1,1
World,OWID_WRL,1981,79,0,0,0,0,0,1
World,OWID_WRL,1982,81,0,0,0,0,0,1
World,OWID_WRL,1983,81,0,0,0,0,0,1
World,OWID_WRL,1984,81,0,0,0,0,0,1
World,OWID_WRL,1985,81,0,0,0,0,0,1
World,OWID_WRL,1986,82,0,0,0,0,0,1
World,OWID_WRL,1987,82,0,0,0,0,0,1
World,OWID_WRL,1988,82,0,0,0,0,0,1
World,OWID_WRL,1989,83,0,0,0,0,0,1
World,OWID_WRL,1990,83,0,0,0,0,1,1
World,OWID_WRL,1991,86,0,0,0,0,0,1
World,OWID_WRL,1992,88,0,0,1,0,0,1
World,OWID_WRL,1993,92,0,0,1,0,0,1
World,OWID_WRL,1994,95,0,0,1,0,0,1
World,OWID_WRL,1995,98,1,0,1,0,0,1
World,OWID_WRL,1996,101,1,0,1,0,0,1
World,OWID_WRL,1997,103,1,0,1,0,0,1
World,OWID_WRL,1998,108,1,0,1,0,0,1
World,OWID_WRL,1999,109,1,0,0,0,0,1
World,OWID_WRL,2000,111,2,0,0,0,1,1
World,OWID_WRL,2001,112,2,1,0,0,0,1
World,OWID_WRL,2002,112,6,1,0,0,0,1
World,OWID_WRL,2003,114,6,2,0,0,0,1
World,OWID_WRL,2004,116,6,2,1,0,0,1
World,OWID_WRL,2005,117,7,4,1,0,0,1
World,OWID_WRL,2006,117,9,5,1,0,0,1
World,OWID_WRL,2007,120,9,5,1,0,0,1
World,OWID_WRL,2008,122,9,5,1,0,0,1
World,OWID_WRL,2009,122,12,7,2,0,0,1
World,OWID_WRL,2010,123,14,10,2,0,1,1
World,OWID_WRL,2011,123,14,10,2,1,0,1
World,OWID_WRL,2012,125,14,11,3,2,0,1
World,OWID_WRL,2013,125,16,15,4,4,0,1
World,OWID_WRL,2014,128,18,16,6,6,0,1
World,OWID_WRL,2015,128,23,19,9,6,0,1
World,OWID_WRL,2016,131,24,20,12,6,0,1
World,OWID_WRL,2017,130,27,23,15,7,0,1
World,OWID_WRL,2018,132,28,23,22,10,0,1
World,OWID_WRL,2019,133,28,26,24,12,0,1
World,OWID_WRL,2020,133,28,28,24,12,1,1
World,OWID_WRL,2021,133,28,28,25,13,0,1
World,OWID_WRL,2022,133,33,33,28,16,0,1
World,OWID_WRL,2023,133,37,34,32,17,0,1
World,OWID_WRL,2024,133,39,37,32,17,0,1
