Eviction_Month_Year,Eviction_Date_Format,Eviction_Month,Eviction_Year,NYC_Evictions
Jan 2017,1/1/2017,Jan,2017,2237
Feb 2017,2/1/2017,Feb,2017,1695
Mar 2017,3/1/2017,Mar,2017,2040
Apr 2017,4/1/2017,Apr,2017,1860
May 2017,5/1/2017,May,2017,2080
Jun 2017,6/1/2017,Jun,2017,1993
Jul 2017,7/1/2017,Jul,2017,1696
Aug 2017,8/1/2017,Aug,2017,2034
Sep 2017,9/1/2017,Sep,2017,1776
Oct 2017,10/1/2017,Oct,2017,2019
Nov 2017,11/1/2017,Nov,2017,1763
Dec 2017,12/1/2017,Dec,2017,1329
Jan 2018,1/1/2018,Jan,2018,2246
Feb 2018,2/1/2018,Feb,2018,1778
Mar 2018,3/1/2018,Mar,2018,1927
Apr 2018,4/1/2018,Apr,2018,1940
May 2018,5/1/2018,May,2018,2128
Jun 2018,6/1/2018,Jun,2018,1895
Jul 2018,7/1/2018,Jul,2018,1872
Aug 2018,8/1/2018,Aug,2018,1980
Sep 2018,9/1/2018,Sep,2018,1641
Oct 2018,10/1/2018,Oct,2018,1749
Nov 2018,11/1/2018,Nov,2018,1484
Dec 2018,12/1/2018,Dec,2018,1190
Jan 2019,1/1/2019,Jan,2019,2060
Feb 2019,2/1/2019,Feb,2019,1657
Mar 2019,3/1/2019,Mar,2019,1676
Apr 2019,4/1/2019,Apr,2019,1746
May 2019,5/1/2019,May,2019,1795
Jun 2019,6/1/2019,Jun,2019,1583
Jul 2019,7/1/2019,Jul,2019,1652
Aug 2019,8/1/2019,Aug,2019,1515
Sep 2019,9/1/2019,Sep,2019,1425
Oct 2019,10/1/2019,Oct,2019,1432
Nov 2019,11/1/2019,Nov,2019,1190
Dec 2019,12/1/2019,Dec,2019,984
Jan 2020,1/1/2020,Jan,2020,1621
Feb 2020,2/1/2020,Feb,2020,1177
Mar 2020,3/1/2020,Mar,2020,607
Apr 2020,4/1/2020,Apr,2020,0
May 2020,5/1/2020,May,2020,0
Jun 2020,6/1/2020,Jun,2020,0
Jul 2020,7/1/2020,Jul,2020,0
Aug 2020,8/1/2020,Aug,2020,0
Sep 2020,9/1/2020,Sep,2020,0
Oct 2020,10/1/2020,Oct,2020,0
Nov 2020,11/1/2020,Nov,2020,6
Dec 2020,12/1/2020,Dec,2020,11
Jan 2021,1/1/2021,Jan,2021,4
Feb 2021,2/1/2021,Feb,2021,3
Mar 2021,3/1/2021,Mar,2021,1
Apr 2021,4/1/2021,Apr,2021,3
May 2021,5/1/2021,May,2021,6
Jun 2021,6/1/2021,Jun,2021,9
Jul 2021,7/1/2021,Jul,2021,52
Aug 2021,8/1/2021,Aug,2021,46
Sep 2021,9/1/2021,Sep,2021,11
Oct 2021,10/1/2021,Oct,2021,19
Nov 2021,11/1/2021,Nov,2021,42
Dec 2021,12/1/2021,Dec,2021,72
Jan 2022,1/1/2022,Jan,2022,118
Feb 2022,2/1/2022,Feb,2022,188
Mar 2022,3/1/2022,Mar,2022,289
Apr 2022,4/1/2022,Apr,2022,293
May 2022,5/1/2022,May,2022,382
Jun 2022,6/1/2022,Jun,2022,406
Jul 2022,7/1/2022,Jul,2022,411
Aug 2022,8/1/2022,Aug,2022,498
Sep 2022,9/1/2022,Sep,2022,555
Oct 2022,10/1/2022,Oct,2022,667
Nov 2022,11/1/2022,Nov,2022,793
Dec 2022,12/1/2022,Dec,2022,467
Jan 2023,1/1/2023,Jan,2023,965
Feb 2023,2/1/2023,Feb,2023,717
Mar 2023,3/1/2023,Mar,2023,922
Apr 2023,4/1/2023,Apr,2023,779
May 2023,5/1/2023,May,2023,1109
Jun 2023,6/1/2023,Jun,2023,1391
Jul 2023,7/1/2023,Jul,2023,1227
Aug 2023,8/1/2023,Aug,2023,1479
Sep 2023,9/1/2023,Sep,2023,1247
Oct 2023,10/1/2023,Oct,2023,1438
Nov 2023,11/1/2023,Nov,2023,1269
Dec 2023,12/1/2023,Dec,2023,905
Jan 2024,1/1/2024,Jan,2024,1567
Feb 2024,2/1/2024,Feb,2024,1340
Mar 2024,3/1/2024,Mar,2024,1187
Apr 2024,4/1/2024,Apr,2024,1286
May 2024,5/1/2024,May,2024,1407
Jun 2024,6/1/2024,Jun,2024,1247
Jul 2024,7/1/2024,Jul,2024,1510
Aug 2024,8/1/2024,Aug,2024,1499
Sep 2024,9/1/2024,Sep,2024,1454
Oct 2024,10/1/2024,Oct,2024,1693
